2024-02-18 00:16:54.508 | INFO     | modules_settings:start_bridges:14 - Start usdc balance: 15.646625 USDC
2024-02-18 00:16:54.515 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 00:23:38.250 | INFO     | modules_settings:start_bridges:14 - Start usdc balance: 15.646625 USDC
2024-02-18 00:23:38.277 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 00:23:39.917 | INFO     | modules.sync_client:approve_interface:164 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | already approved
2024-02-18 00:23:39.920 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:25:44.212 | INFO     | modules_settings:start_bridges:14 - Start usdc balance: 14.546625 USDC
2024-02-18 00:25:44.236 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 00:25:47.624 | INFO     | modules.sync_client:approve_interface:164 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | already approved
2024-02-18 00:25:47.626 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:28:52.186 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 14.546625
2024-02-18 00:28:52.188 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:31:54.323 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 13.446625
2024-02-18 00:31:54.325 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:32:05.456 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x3519ec05da3ea6efe16d126230977a71518a32212231c7a9083d81be10e443fc successfully!
2024-02-18 00:32:05.996 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 12.346625
2024-02-18 00:32:05.998 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:35:08.213 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 12.346625
2024-02-18 00:35:08.214 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:35:18.515 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x9e20429a038b1884248976578954d857d4af40876e426f71e2bebf302c6fbc92 successfully!
2024-02-18 00:35:18.898 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 11.246625
2024-02-18 00:35:18.900 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:35:25.624 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x4ee601d1023fcc8bcae6b1c7276bd4ad1d66005e72f94d94cefbf210cfdab48b successfully!
2024-02-18 00:35:26.030 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 10.146625
2024-02-18 00:35:26.032 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:35:30.207 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x37d10234e1e497229c629b0405ef3e579acd8b425fa21b9d4d65af59bacdd7d4 successfully!
2024-02-18 00:35:30.642 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 9.046625
2024-02-18 00:35:30.643 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:38:00.292 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x926088f6a301d87b72e84ac3bf8cf479709c1e2208120280ff900b90e1a92877 successfully!
2024-02-18 00:38:00.770 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 7.946625
2024-02-18 00:38:00.771 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:38:08.333 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x2afe20c940087da2035773bb748ef1dd3848e690e328b37de3ec05d559f8fe84 successfully!
2024-02-18 00:38:08.721 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 6.846625
2024-02-18 00:38:08.722 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:38:19.897 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x0f141ebe520bc778d297355c6a927723494ccdb37ee3cb93237b770ec86dcc2f successfully!
2024-02-18 00:38:20.281 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 00:38:20.281 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:38:27.927 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x822d7ef965673b67ea14a42aee0afa1d67739c1a396ffa4085ea1648b7517b98 successfully!
2024-02-18 00:38:28.389 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 4.646625
2024-02-18 00:38:28.390 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:38:34.978 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x236195fc050153c40a5bc94bf884eadf670005defff83d53875f3867696d42e6 successfully!
2024-02-18 00:38:35.357 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 3.546625
2024-02-18 00:38:35.359 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:38:52.009 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x782555081cb6afef85eda43c5258f9d45f5bcfce399bfd89261f809622304d09 successfully!
2024-02-18 00:38:52.382 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 2.446625
2024-02-18 00:38:52.382 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:38:57.212 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xbd4754d463a5e7416770298ef50636274e965feae17b9bd5150266c805f51e81 successfully!
2024-02-18 00:38:57.571 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 1.346625
2024-02-18 00:38:57.575 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:39:10.879 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x59976d90d3481e8a60f90970388a4827d6cca2d61b9fcfa27454ea6cb3a213bd successfully!
2024-02-18 00:39:11.204 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 0.246625
2024-02-18 00:39:11.205 | WARNING  | modules_settings:start_bridges:25 - Polygon USDC balance < 1.1
2024-02-18 00:39:11.207 | INFO     | modules_settings:start_bridges:26 - Wait 60 sec before bridge BSC -> POLYGON
2024-02-18 00:40:11.242 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 00:40:31.719 | SUCCESS  | modules.sync_client:verif_tx:127 - 0x6a136295400affC349c648eB9EeC580a478b4025 | transaction was successful: https://polygonscan.com/tx/0x1daaffdfecb3661f73b9fe7e3be772a6f2665d402ac4487b57d9495f9491d238
2024-02-18 00:40:31.719 | INFO     | modules.router:bridge_all_usdc_to_polygon:68 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from BSC -> POLYGON
2024-02-18 00:40:37.082 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://bscscan.com/tx/0xe6660c2bf463ad889c05c3f0e0726fc396bed4a453402e54f7005316c1029607 successfully!
2024-02-18 00:40:37.085 | INFO     | modules_settings:start_bridges:32 - Wait 60 sec for success bridge BSC -> POLYGON
2024-02-18 00:41:37.556 | INFO     | modules_settings:start_bridges:14 - Start usdc balance: 15.646625 USDC
2024-02-18 00:41:37.589 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 00:41:53.660 | SUCCESS  | modules.sync_client:verif_tx:127 - 0x6a136295400affC349c648eB9EeC580a478b4025 | transaction was successful: https://polygonscan.com/tx/0xb3e3d787cf373bd23323d0439888ccc2a984cd28cf147415dd45115ebfc453b2
2024-02-18 00:41:53.663 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:42:05.735 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xa27af33d748d139c607fecf5b972f5b17cb8dd3b2e14398c7f37bb9a29cd0143 successfully!
2024-02-18 00:42:06.482 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 14.546625
2024-02-18 00:42:06.484 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:42:16.915 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x29414a5fdb4d3fc65fea8e9839191f65d8a1c626d17639375bcfafc672889c21 successfully!
2024-02-18 00:42:17.625 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 13.446625
2024-02-18 00:42:17.627 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:42:32.414 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xc7a64fbde9dd51532733f368355fa2f048df4b8f5224af47e96b904d83d12f91 successfully!
2024-02-18 00:42:33.173 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 12.346625
2024-02-18 00:42:33.176 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:42:42.339 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xb9ee13f373d34fe9193993c38082aba821a1422347201b7a97ab6f4585ead535 successfully!
2024-02-18 00:42:43.101 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 11.246625
2024-02-18 00:42:43.103 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:43:27.402 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xd332d691759f9f0bda858d220f767f5271c53de5c76c96b016f8623bc5af9a7e successfully!
2024-02-18 00:43:28.157 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 10.146625
2024-02-18 00:43:28.157 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:43:52.482 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x2a938b4536631a8affe74c555a19aace50a2406b392eb011bf4b38a31747082e successfully!
2024-02-18 00:43:53.199 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 9.046625
2024-02-18 00:43:53.202 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:44:08.580 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xf26da4e5cacc1e4200c9b57d90bfe0b0fa87be96188b6288f73810cfe5045152 successfully!
2024-02-18 00:44:09.312 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 7.946625
2024-02-18 00:44:09.314 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:47:00.620 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x6e9194cabaf737015dff8db7437b227ce61636c121e32cf9cbf8a31176a53558 successfully!
2024-02-18 00:47:01.359 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 6.846625
2024-02-18 00:47:01.361 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:50:04.805 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 6.846625
2024-02-18 00:50:04.806 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:53:07.820 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 00:53:07.822 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:56:10.644 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 00:56:10.645 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 00:59:13.436 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 00:59:13.438 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:02:15.671 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 01:02:15.673 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:05:18.331 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 01:05:18.331 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:08:19.901 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 01:08:19.904 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:09:52.006 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xaa99cbeebdc72e453d4cc3cce2deb7c19fd6dcabcc9a0e7ff6a5502b120d5614 successfully!
2024-02-18 01:09:52.333 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 4.646625
2024-02-18 01:09:52.335 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:10:05.207 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x391776c3963d4c8e0fab078ee8cbcbe07315b0d4a5352c83a138e2a2a443e517 successfully!
2024-02-18 01:10:05.636 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 3.546625
2024-02-18 01:10:05.638 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:10:16.217 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xd60f660c645c687426b6576f22ed48c233f0e431d45881defc194fec80d02bb4 successfully!
2024-02-18 01:10:16.538 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 2.446625
2024-02-18 01:10:16.539 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:10:27.341 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xbf8a4a782b47dfff8c55f647a01a33b588e26ba6527de799005027027a034a4d successfully!
2024-02-18 01:10:27.662 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 1.346625
2024-02-18 01:10:27.664 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:10:37.292 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x7f13659832d371fb838bc2febc5a9dbed397c1450c4d85898e53b8b6c4c79c3d successfully!
2024-02-18 01:10:37.618 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 0.246625
2024-02-18 01:10:37.620 | WARNING  | modules_settings:start_bridges:25 - Polygon USDC balance < 1.1
2024-02-18 01:10:37.623 | INFO     | modules_settings:start_bridges:26 - Wait 60 sec before bridge BSC -> POLYGON
2024-02-18 01:11:37.658 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 01:11:51.718 | SUCCESS  | modules.sync_client:verif_tx:127 - 0x6a136295400affC349c648eB9EeC580a478b4025 | transaction was successful: https://polygonscan.com/tx/0xa25817d4277a3d79c5db18a5c0dc96c75f5a099268629a0c4e1521338b69117f
2024-02-18 01:11:51.721 | INFO     | modules.router:bridge_all_usdc_to_polygon:68 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from BSC -> POLYGON
2024-02-18 01:12:00.455 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://bscscan.com/tx/0xcc26bd0cedbc0e5477c9f38633f98495ec7df948b3cedfabd4d4a8a1269cdc70 successfully!
2024-02-18 01:12:00.456 | INFO     | modules_settings:start_bridges:32 - Wait 60 sec for success bridge BSC -> POLYGON
2024-02-18 01:13:00.874 | INFO     | modules_settings:start_bridges:14 - Start usdc balance: 15.646625 USDC
2024-02-18 01:13:00.904 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 01:13:34.855 | SUCCESS  | modules.sync_client:verif_tx:127 - 0x6a136295400affC349c648eB9EeC580a478b4025 | transaction was successful: https://polygonscan.com/tx/0x324654f55075202276a3c40e10217c17505b951aa427c0339bf3ad325ae1e072
2024-02-18 01:13:34.858 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
